Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Account.1
3/2/2022 10:11,CUB - online payment,Food,,Brownie,50.0,Expense,,50.0,INR,50.0
3/2/2022 10:11,CUB - online payment,Other,,To lended people,300.0,Expense,,300.0,INR,300.0
3/1/2022 19:50,CUB - online payment,Food,,Dinner,78.0,Expense,,78.0,INR,78.0
3/1/2022 18:56,CUB - online payment,Transportation,,Metro,30.0,Expense,,30.0,INR,30.0
3/1/2022 18:22,CUB - online payment,Food,,Snacks,67.0,Expense,,67.0,INR,67.0
3/1/2022 18:22,CUB - online payment,Other,,From vicky,100.0,Income,,100.0,INR,100.0
3/1/2022 18:21,CUB - online payment,Other,,From dad,500.0,Income,,500.0,INR,500.0
2/28/2022 11:56,CUB - online payment,Food,,Pizza,339.15,Expense,,339.15,INR,339.15
2/28/2022 11:45,CUB - online payment,Other,,From kumara,200.0,Income,,200.0,INR,200.0
2/27/2022 15:29,CUB - online payment,Food,,Lunch,243.0,Expense,,243.0,INR,243.0
2/26/2022 20:16,CUB - online payment,Food,,,25.0,Expense,,25.0,INR,25.0
2/26/2022 17:37,CUB - online payment,Other,,From dad,1500.0,Income,,1500.0,INR,1500.0
2/26/2022 17:37,CUB - online payment,Other,,To karthi,100.0,Expense,,100.0,INR,100.0
2/26/2022 16:01,CUB - online payment,Social Life,,,1700.0,Expense,,1700.0,INR,1700.0
2/26/2022 14:07,CUB - online payment,Food,,Snacks,40.0,Expense,,40.0,INR,40.0
2/26/2022 1:39,CUB - online payment,Food,,Tea lights,84.0,Expense,,84.0,INR,84.0
2/25/2022 12:08,CUB - online payment,Food,,,33.0,Expense,,33.0,INR,33.0
2/24/2022 22:32,CUB - online payment,Household,,,303.0,Expense,,303.0,INR,303.0
2/24/2022 22:21,CUB - online payment,Food,,Creamstone,289.0,Expense,,289.0,INR,289.0
2/24/2022 19:15,CUB - online payment,Food,,Tamen,324.7,Expense,,324.7,INR,324.7
2/23/2022 17:35,CUB - online payment,Apparel,,Hoodie for gobi,399.0,Expense,,399.0,INR,399.0
2/23/2022 16:06,CUB - online payment,Food,,Eggs,83.0,Expense,,83.0,INR,83.0
2/23/2022 12:38,CUB - online payment,Apparel,,Earphone,399.0,Expense,,399.0,INR,399.0
2/22/2022 6:33,CUB - online payment,Transportation,,Auto to laxmi mills,120.0,Expense,,120.0,INR,120.0
2/21/2022 22:15,CUB - online payment,Transportation,,It better be worth it,1300.0,Expense,,1300.0,INR,1300.0
2/21/2022 16:06,CUB - online payment,Transportation,,Travel to koyambedu,138.0,Expense,,138.0,INR,138.0
2/21/2022 15:40,CUB - online payment,Household,,Stuffs,336.0,Expense,,336.0,INR,336.0
2/21/2022 15:38,CUB - online payment,Transportation,,Train cbe to chn,201.8,Expense,,201.8,INR,201.8
2/20/2022 15:24,CUB - online payment,Food,,Lunch,200.0,Expense,,200.0,INR,200.0
2/19/2022 23:03,CUB - online payment,Food,,Random stuff for drinks,111.0,Expense,,111.0,INR,111.0
2/19/2022 21:57,CUB - online payment,Food,,Snacks,250.0,Expense,,250.0,INR,250.0
2/19/2022 21:35,CUB - online payment,Transportation,,Bus ticket,1575.0,Expense,,1575.0,INR,1575.0
2/19/2022 20:45,CUB - online payment,Transportation,,Took from sbi,200.0,Expense,,200.0,INR,200.0
2/19/2022 20:45,CUB - online payment,Food,,Ramen with gobi,380.0,Expense,,380.0,INR,380.0
2/19/2022 8:26,CUB - online payment,Transportation,,Metro,60.0,Expense,,60.0,INR,60.0
2/19/2022 6:27,CUB - online payment,Other,,To auto anna,50.0,Expense,,50.0,INR,50.0
2/19/2022 6:18,CUB - online payment,Transportation,,To egmore,270.0,Expense,,270.0,INR,270.0
2/18/2022 23:01,CUB - online payment,Food,,Kfc dinner,348.0,Expense,,348.0,INR,348.0
2/17/2022 13:11,CUB - online payment,Food,,Lunch,80.0,Expense,,80.0,INR,80.0
2/16/2022 16:57,CUB - online payment,Food,,Side dishes,165.0,Expense,,165.0,INR,165.0
2/16/2022 16:57,CUB - online payment,Food,,Kfc ,475.0,Expense,,475.0,INR,475.0
2/13/2022 21:54,CUB - online payment,Social Life,,Games ,100.0,Expense,,100.0,INR,100.0
2/12/2022 21:20,CUB - online payment,Food,,Dinner with aravind and buddies,491.0,Expense,,491.0,INR,491.0
2/12/2022 16:04,CUB - online payment,Household,,Mirror,70.0,Expense,,70.0,INR,70.0
2/12/2022 14:48,CUB - online payment,Food,,Lunch,80.0,Expense,,80.0,INR,80.0
2/12/2022 14:47,CUB - online payment,Other,,From dad,10000.0,Income,,10000.0,INR,10000.0
2/11/2022 22:41,CUB - online payment,Food,,Dinner with aravind,373.0,Expense,,373.0,INR,373.0
2/10/2022 20:15,CUB - online payment,Food,,Kfc dinner,641.0,Expense,,641.0,INR,641.0
2/8/2022 10:37,CUB - online payment,Other,,From dad,1000.0,Income,,1000.0,INR,1000.0
2/8/2022 9:18,CUB - online payment,Household,,Bean bag,2099.0,Expense,,2099.0,INR,2099.0
2/7/2022 7:08,CUB - online payment,Transportation,,Auto to Gobi's place,214.0,Expense,,214.0,INR,214.0
2/6/2022 18:32,CUB - online payment,Food,,Cakepark,125.0,Expense,,125.0,INR,125.0
2/6/2022 17:53,CUB - online payment,Food,,To kumara,150.0,Expense,,150.0,INR,150.0
2/6/2022 17:52,CUB - online payment,Transportation,,To chennai,1000.0,Expense,,1000.0,INR,1000.0
2/6/2022 16:41,CUB - online payment,Other,,Salary from dad,5000.0,Income,,5000.0,INR,5000.0
2/6/2022 16:40,CUB - online payment,Other,,To gobi,1500.0,Expense,,1500.0,INR,1500.0
2/4/2022 20:28,CUB - online payment,Food,,Shawarma,80.0,Expense,,80.0,INR,80.0
2/3/2022 14:53,CUB - online payment,Food,,Good soup,50.0,Expense,,50.0,INR,50.0
2/3/2022 8:59,CUB - online payment,Other,,To gowdham,150.0,Expense,,150.0,INR,150.0
2/2/2022 20:15,CUB - online payment,Food,,Parotta,120.0,Expense,,120.0,INR,120.0
2/2/2022 20:14,CUB - online payment,Other,,From dad,500.0,Income,,500.0,INR,500.0
1/31/2022 8:44,CUB - online payment,Transportation,,Vnr to apk,50.0,Expense,,50.0,INR,50.0
1/31/2022 8:27,CUB - online payment,Other,,To vicky,200.0,Expense,,200.0,INR,200.0
1/31/2022 8:26,CUB - online payment,Transportation,,To ksr station,153.0,Expense,,153.0,INR,153.0
1/30/2022 19:17,CUB - online payment,Food,,Dinner,155.0,Expense,,155.0,INR,155.0
1/30/2022 19:01,CUB - online payment,Food,,Cycle gap ,120.0,Expense,,120.0,INR,120.0
1/30/2022 12:28,CUB - online payment,Food,,Brunch,105.0,Expense,,105.0,INR,105.0
1/29/2022 21:56,CUB - online payment,Transportation,,Rapido to pg,44.0,Expense,,44.0,INR,44.0
1/29/2022 14:44,CUB - online payment,Other,,Sent to barath,100.0,Expense,,100.0,INR,100.0
1/28/2022 21:58,CUB - online payment,Food,,Banana,10.0,Expense,,10.0,INR,10.0
1/28/2022 14:23,CUB - online payment,Food,,Lunch with company,138.0,Expense,,138.0,INR,138.0
1/27/2022 21:25,CUB - online payment,Transportation,,Rapido to pg,43.0,Expense,,43.0,INR,43.0
1/27/2022 13:41,CUB - online payment,Other,,To vicky,300.0,Expense,,300.0,INR,300.0
1/27/2022 13:41,CUB - online payment,Other,,To vishnu,100.0,Expense,,100.0,INR,100.0
1/27/2022 13:39,CUB - online payment,Food,,Zinger box meal,279.0,Expense,,279.0,INR,279.0
1/27/2022 13:38,CUB - online payment,Other,,From vicky,300.0,Income,,300.0,INR,300.0
1/27/2022 13:38,CUB - online payment,Other,,From dad,1500.0,Income,,1500.0,INR,1500.0
1/26/2022 17:45,CUB - online payment,Food,,Snacks,115.0,Expense,,115.0,INR,115.0
1/26/2022 17:45,CUB - online payment,Other,,Vishnu 100 gowdham 25,125.0,Income,,125.0,INR,125.0
1/26/2022 16:52,CUB - online payment,Food,,Paani poori,25.0,Expense,,25.0,INR,25.0
1/25/2022 13:35,CUB - online payment,Food,,Kfc date with myself,259.0,Expense,,259.0,INR,259.0
1/25/2022 10:23,CUB - online payment,Food,,Lemon tea,18.0,Expense,,18.0,INR,18.0
1/25/2022 9:20,CUB - online payment,Transportation,,Train to vnr,325.0,Expense,,325.0,INR,325.0
1/24/2022 20:17,CUB - online payment,Food,,Snack,40.0,Expense,,40.0,INR,40.0
1/24/2022 14:08,CUB - online payment,Food,,Lunch with company,133.0,Expense,,133.0,INR,133.0
1/23/2022 21:45,CUB - online payment,Food,,Pepsi,40.0,Expense,,40.0,INR,40.0
1/23/2022 21:41,CUB - online payment,Food,,Dinner,465.0,Expense,,465.0,INR,465.0
1/23/2022 21:29,CUB - online payment,Food,,Sent to vicky,300.0,Expense,,300.0,INR,300.0
1/23/2022 21:29,CUB - online payment,Food,,Lunch,302.0,Expense,,302.0,INR,302.0
1/23/2022 21:29,CUB - online payment,Other,,From vicky,310.0,Income,,310.0,INR,310.0
1/23/2022 21:27,CUB - online payment,Food,,Snacks with preethi and azar,176.0,Expense,,176.0,INR,176.0
1/23/2022 21:27,CUB - online payment,Social Life,,Badminton,200.0,Expense,,200.0,INR,200.0
1/23/2022 21:27,CUB - online payment,Other,,From dad,2000.0,Income,,2000.0,INR,2000.0
